"OIL_VISC FILE"
"Oil_lab_num","Viscsty_temp (C)","Viscsty_abslt (mPa-S)","Viscsty_kinmtc (mm2/S)"
"2690655","","",""
"2690655","","",""
"2690659","15","1.317","1.728"
"2690659","","",""
"2690659","","",""
"2690659","","",""
"2690659","","",""
"2690659","","",""
"2690663","15",".526",".735"
"2690663","","",""
"2690663","","",""
"2690663","","",""
"2690663","","",""
"2690663","","",""
"2709660","15",".776","1.059"
"2709660","","",""
"2709660","","",""
"2709660","","",""
"2709660","","",""
"2709660","","",""
"2710020","15",".537",".757"
"2710020","","",""
"2710020","","",""
"2710020","","",""
"2710020","","",""
"2710020","","",""
"2710024","15",".528",".746"
"2710024","","",""
"2710024","","",""
"2710024","","",""
"2710024","","",""
"2710024","","",""
"2710915","15","1.058","1.434"
"2710915","","",""
"2710915","","",""
"2710915","","",""
"2710915","","",""
"2710915","","",""
"2710925","15","1.303","1.742"
"2710925","","",""
"2710925","","",""
"2710925","","",""
"2710925","","",""
"2710925","","",""
"2710933","15","1.31","1.752"
"2710933","","",""
"2710933","","",""
"2710933","","",""
"2710933","","",""
"2710933","","",""
"2711913","15",".848","1.15"
"2711913","","",""
"2711913","","",""
"2711913","","",""
"2711913","","",""
"2711913","","",""
"2720103","15","1.327","1.731"
"2720103","","",""
"2720103","","",""
"2720103","","",""
"2720103","","",""
"2720103","","",""
"2720107","15","1.701","2.18"
"2720107","","",""
"2720107","","",""
"2720107","","",""
"2720107","","",""
"2720107","","",""
"2720112","15","1.405","1.826"
"2720112","","",""
"2720112","","",""
"2720112","","",""
"2720112","","",""
"2720112","","",""
"2720116","15","1.628","2.09"
"2720116","","",""
"2720116","","",""
"2720116","","",""
"2720116","","",""
"2720116","","",""
"2720121","15","1.345","1.751"
"2720121","","",""
"2720121","","",""
"2720121","","",""
"2720121","","",""
"2720121","","",""
"2720125","15","2.094","2.668"
"2720125","","",""
"2720125","","",""
"2720125","","",""
"2720125","","",""
"2720125","","",""
"2720129","15","2.264","2.903"
"2720129","","",""
"2720129","","",""
"2720129","","",""
"2720129","","",""
"2720129","","",""
"2726878","15",".959","1.276"
"2726878","","",""
"2726878","","",""
"2726878","","",""
"2726878","","",""
"2726878","","",""
"2726882","15",".897","1.205"
"2726882","","",""
"2726882","","",""
"2726882","","",""
"2726882","","",""
"2726882","","",""
"2726888","15",".624",".864"
"2726888","","",""
"2726888","","",""
"2726888","","",""
"2726888","","",""
"2726888","","",""
"2726892","15",".885","1.187"
"2726892","","",""
"2726892","","",""
"2726892","","",""
"2726892","","",""
"2726892","","",""
"2730741","15",".573",".808"
"2730741","","",""
"2730741","","",""
"2730741","","",""
"2730741","","",""
"2730741","","",""
"2730743","15",".515",".736"
"2730743","","",""
"2730743","","",""
"2730743","","",""
"2730743","","",""
"2730743","","",""
"2730746","15",".65",".9"
"2730746","","",""
"2730746","","",""
"2730746","","",""
"2730746","","",""
"2730746","","",""
"2763-52134-17-3","20","1.86","2.393"
"2763-52134-17-3","30","1.528","1.986"
"2763-52134-17-3","40","1.288","1.692"
"2763-52134-17-3","","",""
"2763-52134-17-3","","",""
"2763-52134-17-3","","",""
"2765-52134-17-3","20","2.048","2.625"
"2765-52134-17-3","30","1.669","2.162"
"2765-52134-17-3","40","1.4","1.831"
"2765-52134-17-3","","",""
"2765-52134-17-3","","",""
"2765-52134-17-3","","",""
"2779-52134-2017-2","20","2.152","4.749"
"2779-52134-2017-2","30","1.753","2.262"
"2779-52134-2017-2","40","1.467","1.912"
"2779-52134-2017-2","","",""
"2779-52134-2017-2","","",""
"2779-52134-2017-2","","",""
"2779-52134-2017-9","20","2.193","2.798"
"2779-52134-2017-9","30","1.767","2.278"
"2779-52134-2017-9","40","1.43","1.862"
"2779-52134-2017-9","","",""
"2779-52134-2017-9","","",""
"2779-52134-2017-9","","",""
"3008-52134-2016-3","20","1.49","1.934"
"3008-52134-2016-3","30","1.235","1.62"
"3008-52134-2016-3","40","1.051","1.392"
"3008-52134-2016-3","","",""
"3008-52134-2016-3","","",""
"3008-52134-2016-3","","",""
"3008-52134-2016-9","20","1.45","1.885"
"3008-52134-2016-9","30","1.223","1.608"
"3008-52134-2016-9","40","1.024","1.361"
"3008-52134-2016-9","","",""
"3008-52134-2016-9","","",""
"3008-52134-2016-9","","",""
"3011-52134-17-3","20",".791","1.061"
"3011-52134-17-3","30",".681",".924"
"3011-52134-17-3","40",".581",".797"
"3011-52134-17-3","","",""
"3011-52134-17-3","","",""
"3011-52134-17-3","","",""
"3038-52134-17-3","20",".641",".875"
"3038-52134-17-3","30",".551",".761"
"3038-52134-17-3","40",".475",".664"
"3038-52134-17-3","","",""
"3038-52134-17-3","","",""
"3038-52134-17-3","","",""
"3049-52134-2021-3","20","1.451","1.868"
"3049-52134-2021-3","30","1.218","1.583"
"3049-52134-2021-3","40","1.08","1.418"
"3049-52134-2021-3","","",""
"3049-52134-2021-3","","",""
"3049-52134-2021-3","","",""
"3058-52134-2016-3","20","1.805","2.311"
"3058-52134-2016-3","25","1.608","2.07"
"3058-52134-2016-3","30","1.426","1.844"
"3058-52134-2016-3","","",""
"3058-52134-2016-3","","",""
"3058-52134-2016-3","","",""
"3058-52134-2016-9","20","1.59","2.047"
"3058-52134-2016-9","25","1.403","1.815"
"3058-52134-2016-9","30","1.253","1.629"
"3058-52134-2016-9","","",""
"3058-52134-2016-9","","",""
"3058-52134-2016-9","","",""
"314771","20","2.97","3.63"
"314771","30","2.4","2.96"
"314771","40","1.98","2.47"
"3372-52134-16-15","15",".872","1.171"
"3372-52134-16-15","20",".808","1.092"
"3372-52134-16-15","25",".751","1.02"
"3372-52134-16-15","","",""
"3372-52134-16-15","","",""
"3372-52134-16-15","","",""
"3673-52134-15-3","20","2.478","3.11"
"3673-52134-15-3","30","2.017","2.557"
"3673-52134-15-3","40","1.66","2.125"
"3673-52134-15-3","","",""
"3673-52134-15-3","","",""
"3673-52134-15-3","","",""
"3673-52134-15-7","20","2.472","3.113"
"3673-52134-15-7","30","2.024","2.573"
"3673-52134-15-7","40","1.685","2.164"
"3673-52134-15-7","","",""
"3673-52134-15-7","","",""
"3673-52134-15-7","","",""
"4073-52134-12-3","20","2.167","2.75"
"4073-52134-12-3","30","1.828","2.342"
"4073-52134-12-3","40","1.536","1.989"
"4073-52134-12-3","","",""
"4073-52134-12-3","","",""
"4073-52134-12-3","","",""
"4144-52134-2021-3","10","1.289","1.701"
"4144-52134-2021-3","20","1.039","1.385"
"4144-52134-2021-3","30",".858","1.157"
"4144-52134-2021-3","","",""
"4144-52134-2021-3","","",""
"4144-52134-2021-3","","",""
"4144-52134-2021-6","10","2.233","2.861"
"4144-52134-2021-6","20","1.624","2.102"
"4144-52134-2021-6","30","1.256","1.642"
"4144-52134-2021-6","","",""
"4144-52134-2021-6","","",""
"4144-52134-2021-6","","",""
"4144-52134-2021-9","10","1.874","2.428"
"4144-52134-2021-9","20","1.438","1.882"
"4144-52134-2021-9","30","1.091","1.444"
"4144-52134-2021-9","","",""
"4144-52134-2021-9","","",""
"4144-52134-2021-9","","",""
"4145-52134-2021-3","10","1.142","1.515"
"4145-52134-2021-3","20",".951","1.275"
"4145-52134-2021-3","30",".797","1.081"
"4145-52134-2021-3","","",""
"4145-52134-2021-3","","",""
"4145-52134-2021-3","","",""
"4145-52134-2021-6","10","1.23","1.614"
"4145-52134-2021-6","20","1.027","1.362"
"4145-52134-2021-6","30",".894","1.199"
"4145-52134-2021-6","","",""
"4145-52134-2021-6","","",""
"4145-52134-2021-6","","",""
"4145-52134-2021-9","20","1.7","2.187"
"4145-52134-2021-9","30","1.445","1.881"
"4145-52134-2021-9","40","1.197","1.592"
"4145-52134-2021-9","","",""
"4145-52134-2021-9","","",""
"4145-52134-2021-9","","",""
"4161-52134-2021-3","20","1.58","2.05"
"4161-52134-2021-3","30","1.287","1.686"
"4161-52134-2021-3","40","1.058","1.402"
"4161-52134-2021-3","","",""
"4161-52134-2021-3","","",""
"4161-52134-2021-3","","",""
"4161-52134-2021-6","10","1.995","2.579"
"4161-52134-2021-6","20","1.459","1.906"
"4161-52134-2021-6","30","1.147","1.514"
"4161-52134-2021-6","","",""
"4161-52134-2021-6","","",""
"4161-52134-2021-6","","",""
"4161-52134-2021-9","20","1.292","1.687"
"4161-52134-2021-9","30","1.075","1.42"
"4161-52134-2021-9","40",".898","1.198"
"4161-52134-2021-9","","",""
"4161-52134-2021-9","","",""
"4161-52134-2021-9","","",""
"4767-52134-2021-4","20","4.493","5.524"
"4767-52134-2021-4","30","3.353","4.161"
"4767-52134-2021-4","40","2.685","3.364"
"4767-52134-2021-4","","",""
"4767-52134-2021-4","","",""
"4767-52134-2021-4","","",""
"5137-52134-2021-3","20","2.899","3.643"
"5137-52134-2021-3","30","2.418","3.069"
"5137-52134-2021-3","40","1.969","2.523"
"5137-52134-2021-3","","",""
"5137-52134-2021-3","","",""
"5137-52134-2021-3","","",""
"5138-52134-2021-4","20","2.66","3.351"
"5138-52134-2021-4","30","2.101","2.672"
"5138-52134-2021-4","40","1.724","2.214"
"5138-52134-2021-4","","",""
"5138-52134-2021-4","","",""
"5138-52134-2021-4","","",""
"5139-52134-2021-4","20","4.176","5.162"
"5139-52134-2021-4","30","3.154","3.935"
"5139-52134-2021-4","40","2.546","3.207"
"5139-52134-2021-4","","",""
"5139-52134-2021-4","","",""
"5139-52134-2021-4","","",""
"52134-2009-4487","20","2.44","3.03"
"52134-2009-4487","30","2.07","2.59"
"52134-2009-4487","40","1.7","2.15"
"52134-2011-0586","20","2.949","3.701"
"52134-2011-0586","30","2.254","2.857"
"52134-2011-0586","40","1.901","2.434"
"52134-2012-2577","20","3.67","4.559"
"52134-2012-2577","30","2.955","3.706"
"52134-2012-2577","40","2.461","3.117"
"52134-2012-2664","20","2.362","2.977"
"52134-2012-2664","30","2.042","2.599"
"52134-2012-2664","40","1.851","2.381"
"52134-2012-3440","20",".597",".828"
"52134-2012-3440","30",".523",".733"
"52134-2012-3440","40",".475",".674"
"52134-2012-3711","20",".659",".893"
"52134-2012-3711","30",".566",".777"
"52134-2012-3711","40",".501",".695"
"52134-2012-3821","20",".639",".907"
"52134-2012-3821","30",".486",".699"
"52134-2012-3821","40",".375",".545"
"52134-2012-4073","20","2.17","2.75"
"52134-2012-4073","30","1.83","2.34"
"52134-2012-4073","40","1.54","1.99"
"52134-2021-5022","20","2.921","3.665"
"52134-2021-5022","30","2.302","2.916"
"52134-2021-5022","40","1.868","2.39"
"52134-2021-5022","","",""
"52134-2021-5022","","",""
"52134-2021-5022","","",""
"52134-2021-5023","20","2.665","3.363"
"52134-2021-5023","30","2.15","2.74"
"52134-2021-5023","40","1.818","2.34"
"52134-2021-5023","","",""
"52134-2021-5023","","",""
"52134-2021-5023","","",""
"52134-2022-0731","20",".807","1.088"
"52134-2022-0731","30",".703",".958"
"52134-2022-0731","40",".626",".863"
"52134-2022-0731","","",""
"52134-2022-0731","","",""
"52134-2022-0731","","",""
"52134-2022-0731-7","20","1.016","1.347"
"52134-2022-0731-7","30",".844","1.131"
"52134-2022-0731-7","40",".724",".982"
"52134-2022-0731-7","","",""
"52134-2022-0731-7","","",""
"52134-2022-0731-7","","",""
"52134-96-1600","20","4.7","5.92"
"52134-96-1600","30","2.3","2.93"
"52134-96-1600","40","2.32","2.98"
"52136-2001-4130","20",".59",".794"
"52136-2001-4130","30",".529",".72"
"52136-2001-4130","40",".477",".656"
"52136-2001-6148","20","3.69","4.56"
"52136-2001-6148","30","2.88","3.51"
"52136-2001-6148","40","2.31","2.84"
"52136-2002-4910","20",".609",".807"
"52136-2002-4910","30",".54",".724"
"52136-2002-4910","40",".477",".647"
"52136-2003-4161","20","3.63","4.46"
"52136-2003-4161","30","2.65","3.29"
"52136-2003-4161","40","2.08","2.61"
"52136-2003-5278","20",".709",".928"
"52136-2003-5278","30",".627",".829"
"52136-2003-5278","40",".553",".74"
"52136-2005-6077","20",".627",".85"
"52136-2005-6077","30",".533",".731"
"52136-2005-6077","40",".467",".649"
"52136-2005-6306","20",".612",".834"
"52136-2005-6306","30",".566",".78"
"52136-2005-6306","40",".528",".736"
"52136-2005-7297","20","2.04","2.47"
"52136-2005-7297","30","1.67","2.04"
"52136-2005-7297","40","1.4","1.73"
"52136-2006-9148","20","4.67","5.74"
"52136-2006-9148","30","3.03","3.76"
"52136-2006-9148","40","2.03","2.54"
"52136-2008-1131-1","20",".56",".78"
"52136-2008-1131-1","30",".499",".702"
"52136-2008-1131-1","40",".444",".633"
"52136-2008-1131-2","20",".546",".758"
"52136-2008-1131-2","30",".488",".686"
"52136-2008-1131-2","40",".436",".621"
"52136-2008-6516-1","20",".502",".705"
"52136-2008-6516-1","30",".445",".633"
"52136-2008-6516-1","40",".4",".576"
"52136-2008-6516-2","20",".532",".743"
"52136-2008-6516-2","30",".482",".681"
"52136-2008-6516-2","40",".432",".617"
"52136-2008-7201","20",".574",".788"
"52136-2008-7201","30",".514",".713"
"52136-2008-7201","40",".464",".651"
"52136-2008-9166","30","2.87","3.56"
"52136-2008-9166","40","2.34","2.92"
"52136-2008-9166","50","1.92","2.42"
"52136-2008-9306","20","3.13","3.9"
"52136-2008-9306","30","2.4","3.02"
"52136-2008-9306","40","1.96","2.49"
"52136-2008-9306-","20","3.26","4.03"
"52136-2008-9306-","30","2.45","3.05"
"52136-2008-9306-","40","1.96","2.47"
"52136-2009-0477","20",".583",".81"
"52136-2009-0477","30",".531",".747"
"52136-2009-0477","40",".48",".684"
"52136-2009-6186","20","8.17","9.69"
"52136-2009-6186","30","4.49","5.37"
"52136-2009-6186","40","2.95","3.56"
"52136-2009-9019","20","4.19","5.11"
"52136-2009-9019","30","2.98","3.67"
"52136-2009-9019","40","2.3","2.86"
"52136-2009-9177","20","3.59","4.43"
"52136-2009-9177","30","2.83","3.51"
"52136-2009-9177","40","2.22","2.78"
"52136-2010-6212","20","1.72","2.11"
"52136-2010-6212","30","1.46","1.8"
"52136-2010-6212","40","1.25","1.56"
"52136-2010-6292","20",".592",".802"
"52136-2010-6292","30",".523",".717"
"52136-2010-6292","40",".469",".649"
"52136-2010-6786","15",".531",".735"
"52136-2010-6786","20",".5",".696"
"52136-2010-6786","30",".442",".623"
"52136-2010-9026","20",".991","1.301"
"52136-2010-9026","30",".853","1.131"
"52136-2010-9026","40",".743",".996"
"52136-2010-9100","20",".501",".685"
"52136-2010-9100","30",".444",".614"
"52136-2010-9100","40",".392",".548"
"52136-2010-9100","","",""
"52136-2010-9100","","",""
"52136-2010-9100","","",""
"52136-2011-6001","20",".63",".864"
"52136-2011-6001","30",".578",".76"
"52136-2011-6001","40",".487",".684"
"52136-2011-6723","20","3.12","3.891"
"52136-2011-6723","30","2.465","3.102"
"52136-2011-6723","35","2.215","2.801"
"52136-2011-9003","10",".466",".658"
"52136-2011-9003","15",".442",".628"
"52136-2011-9003","20",".418",".596"
"52136-2011-9003-1","10",".606",".833"
"52136-2011-9003-1","15",".573",".793"
"52136-2011-9003-1","20",".539",".75"
"52136-2011-9065","20",".481",".668"
"52136-2011-9065","25",".449",".629"
"52136-2011-9065","30",".424",".596"
"52136-2012-6525","15","3.012","3.778"
"52136-2012-6525","20","2.596","3.266"
"52136-2012-6525","30","2.07","2.628"
"52136-2012-6554","10",".465",".654"
"52136-2012-6554","20",".461",".592"
"52136-2012-6554","30",".368",".531"
"52136-2012-9290","20","1.794","2.294"
"52136-2012-9290","30","1.493","1.927"
"52136-2012-9290","40","1.262","1.645"
"52136-2012-9290-1","20","2.399","3.033"
"52136-2012-9290-1","30","1.958","2.498"
"52136-2012-9290-1","40","1.636","2.107"
"52136-2012-9293","4",".67",".91"
"52136-2012-9293","20",".906","1.205"
"52136-2012-9293","30",".777","1.045"
"52136-2013-6608-1","15","2.605","3.256"
"52136-2013-6608-1","20","2.274","2.856"
"52136-2013-6608-1","30","1.799","2.282"
"52136-2013-6608-2","15","2.871","3.593"
"52136-2013-6608-2","20","2.378","2.991"
"52136-2013-6608-2","30","1.674","2.126"
"52136-2014-6239","20","1.305","1.69"
"52136-2014-6239","30","1.121","1.465"
"52136-2014-6239","40",".97","1.28"
"52136-2014-6442","20",".639",".867"
"52136-2014-6442","30",".564",".774"
"52136-2014-6442","40",".489",".679"
"52136-2014-6474-1","20","2.889","3.59"
"52136-2014-6474-1","30","2.306","2.89"
"52136-2014-6474-1","40","1.835","2.325"
"52136-2014-6474-2","20","2.941","3.648"
"52136-2014-6474-2","30","2.361","2.954"
"52136-2014-6474-2","40","1.902","2.406"
"52136-2014-6514-1","10",".528",".726"
"52136-2014-6514-1","20",".463",".645"
"52136-2014-6514-1","30",".408",".575"
"52136-2014-6514-2","20",".477",".661"
"52136-2014-6514-2","25",".454",".634"
"52136-2014-6514-2","30",".429",".602"
"52136-2014-9103-1","20","1.776","2.276"
"52136-2014-9103-1","30","1.449","1.876"
"52136-2014-9103-1","35","1.334","1.736"
"52136-2014-9103-2","15","1.872","2.409"
"52136-2014-9103-2","20","1.744","2.232"
"52136-2014-9103-2","30","1.448","1.872"
"52136-2014-9103-3","20","1.82","2.325"
"52136-2014-9103-3","30","1.478","1.907"
"52136-2014-9103-3","35","1.362","1.767"
"52136-2014-9103-4","20","1.999","2.541"
"52136-2014-9103-4","30","1.632","2.094"
"52136-2014-9103-4","35","1.478","1.907"
"5391-52134-2020-2","20","2.824","3.527"
"5391-52134-2020-2","30","2.205","2.781"
"5391-52134-2020-2","40","1.82","2.318"
"5391-52134-2020-2","","",""
"5391-52134-2020-2","","",""
"5391-52134-2020-2","","",""
"5392-52134-2020-2","20","2.744","3.426"
"5392-52134-2020-2","30","2.171","2.737"
"5392-52134-2020-2","40","1.793","2.283"
"5392-52134-2020-2","","",""
"5392-52134-2020-2","","",""
"5392-52134-2020-2","","",""
"5393-52134-2020-2","20","3.464","4.327"
"5393-52134-2020-2","30","2.662","3.357"
"5393-52134-2020-2","40","2.136","2.72"
"5393-52134-2020-2","","",""
"5393-52134-2020-2","","",""
"5393-52134-2020-2","","",""
"5394-52134-2020-2","20","3.628","4.515"
"5394-52134-2020-2","30","2.746","3.451"
"5394-52134-2020-2","40","2.247","2.851"
"5394-52134-2020-2","","",""
"5394-52134-2020-2","","",""
"5394-52134-2020-2","","",""
"5395-52134-2020-2","20","3.08","3.84"
"5395-52134-2020-2","30","2.435","3.065"
"5395-52134-2020-2","40","1.994","2.535"
"5395-52134-2020-2","","",""
"5395-52134-2020-2","","",""
"5395-52134-2020-2","","",""
"5396-52134-2020-2","20","3.459","4.312"
"5396-52134-2020-2","30","2.683","3.377"
"5396-52134-2020-2","40","2.191","2.785"
"5396-52134-2020-2","","",""
"5396-52134-2020-2","","",""
"5396-52134-2020-2","","",""
"5479-52134-2020-2","20","2.993","3.736"
"5479-52134-2020-2","30","2.369","2.986"
"5479-52134-2020-2","40","1.943","2.473"
"5479-52134-2020-2","","",""
"5479-52134-2020-2","","",""
"5479-52134-2020-2","","",""
"5480-52134-2020-2","20","2.556","3.205"
"5480-52134-2020-2","30","2.025","2.564"
"5480-52134-2020-2","40","1.675","2.142"
"5480-52134-2020-2","","",""
"5480-52134-2020-2","","",""
"5480-52134-2020-2","","",""
"5481-52134-2020-2","20","3.569","4.445"
"5481-52134-2020-2","30","2.76","3.471"
"5481-52134-2020-2","40","2.235","2.837"
"5481-52134-2020-2","","",""
"5481-52134-2020-2","","",""
"5481-52134-2020-2","","",""
"5482-52134-2020-2","20","3.661","4.569"
"5482-52134-2020-2","30","2.754","3.47"
"5482-52134-2020-2","40","2.2","2.8"
"5482-52134-2020-2","","",""
"5482-52134-2020-2","","",""
"5482-52134-2020-2","","",""
"5483-52134-2020-2","20","2.419","3.04"
"5483-52134-2020-2","30","1.936","2.457"
"5483-52134-2020-2","40","1.612","2.067"
"5483-52134-2020-2","","",""
"5483-52134-2020-2","","",""
"5483-52134-2020-2","","",""
"5484-52134-2020-2","10","3.426","4.258"
"5484-52134-2020-2","20","2.645","3.319"
"5484-52134-2020-2","30","2.081","2.637"
"5484-52134-2020-2","","",""
"5484-52134-2020-2","","",""
"5484-52134-2020-2","","",""
"5574-52134-2021-4","20","2.296","2.902"
"5574-52134-2021-4","30","1.834","2.34"
"5574-52134-2021-4","40","1.496","1.929"
"5574-52134-2021-4","","",""
"5574-52134-2021-4","","",""
"5574-52134-2021-4","","",""
"6022-52136-18-3","15","5.234","6.488"
"6022-52136-18-3","20","4.165","5.187"
"6022-52136-18-3","25","3.305","4.136"
"6022-52136-18-3","","",""
"6022-52136-18-3","","",""
"6022-52136-18-3","","",""
"6027-52136-15-2","10",".911","1.221"
"6027-52136-15-2","20",".784","1.064"
"6027-52136-15-2","30",".699",".958"
"6027-52136-15-2","","",""
"6027-52136-15-2","","",""
"6027-52136-15-2","","",""
"6031-52136-19-3","20",".55",".756"
"6031-52136-19-3","30",".485",".674"
"6031-52136-19-3","40",".432",".607"
"6031-52136-19-3","","",""
"6031-52136-19-3","","",""
"6031-52136-19-3","","",""
"6040-52134-2020-2","20","2.052","2.613"
"6040-52134-2020-2","30","1.63","2.096"
"6040-52134-2020-2","40","1.373","1.784"
"6040-52134-2020-2","","",""
"6040-52134-2020-2","","",""
"6040-52134-2020-2","","",""
"6041-52134-2020-2","20","1.939","2.479"
"6041-52134-2020-2","30","1.548","2"
"6041-52134-2020-2","40","1.302","1.7"
"6041-52134-2020-2","","",""
"6041-52134-2020-2","","",""
"6041-52134-2020-2","","",""
"6042-52136-14-10","20","8.987","10.44"
"6042-52136-14-10","30","6.694","7.842"
"6042-52136-14-10","40","5.079","6"
"6042-52136-14-10","","",""
"6042-52136-14-10","","",""
"6042-52136-14-10","","",""
"6042-52136-14-11","20","7.595","8.888"
"6042-52136-14-11","30","5.722","6.751"
"6042-52136-14-11","40","4.369","5.196"
"6042-52136-14-11","","",""
"6042-52136-14-11","","",""
"6042-52136-14-11","","",""
"6042-52136-14-12","20","7.791","9.121"
"6042-52136-14-12","30","5.778","6.82"
"6042-52136-14-12","40","4.454","5.302"
"6042-52136-14-12","","",""
"6042-52136-14-12","","",""
"6042-52136-14-12","","",""
"6042-52136-14-14","20","8.268","9.654"
"6042-52136-14-14","30","6.209","7.307"
"6042-52136-14-14","40","4.719","5.606"
"6042-52136-14-14","","",""
"6042-52136-14-14","","",""
"6042-52136-14-14","","",""
"6042-52136-14-15","20","9.901","11.5"
"6042-52136-14-15","30","7.215","8.454"
"6042-52136-14-15","40","5.439","6.424"
"6042-52136-14-15","","",""
"6042-52136-14-15","","",""
"6042-52136-14-15","","",""
"6042-52136-14-16","20","7.503","8.788"
"6042-52136-14-16","30","5.617","6.634"
"6042-52136-14-16","40","4.346","5.18"
"6042-52136-14-16","","",""
"6042-52136-14-16","","",""
"6042-52136-14-16","","",""
"6042-52136-14-17","20","12.32","14.13"
"6042-52136-14-17","30","8.709","10.07"
"6042-52136-14-17","40","6.642","7.74"
"6042-52136-14-17","","",""
"6042-52136-14-17","","",""
"6042-52136-14-17","","",""
"6042-52136-14-18","20","9.151","10.64"
"6042-52136-14-18","30","6.756","7.921"
"6042-52136-14-18","40","5.167","6.112"
"6042-52136-14-18","","",""
"6042-52136-14-18","","",""
"6042-52136-14-18","","",""
"6042-52136-14-19","20","14.28","16.4"
"6042-52136-14-19","30","9.369","10.86"
"6042-52136-14-19","40","6.824","7.972"
"6042-52136-14-19","","",""
"6042-52136-14-19","","",""
"6042-52136-14-19","","",""
"6042-52136-14-20","20","8.713","10.15"
"6042-52136-14-20","30","6.432","7.56"
"6042-52136-14-20","40","4.96","5.88"
"6042-52136-14-20","","",""
"6042-52136-14-20","","",""
"6042-52136-14-20","","",""
"6042-52136-14-21","20","11.49","13.25"
"6042-52136-14-21","30","8.287","9.633"
"6042-52136-14-21","40","6.265","7.346"
"6042-52136-14-21","","",""
"6042-52136-14-21","","",""
"6042-52136-14-21","","",""
"6042-52136-14-22","20","11.26","13.01"
"6042-52136-14-22","30","8.073","9.404"
"6042-52136-14-22","40","6.133","7.202"
"6042-52136-14-22","","",""
"6042-52136-14-22","","",""
"6042-52136-14-22","","",""
"6042-52136-14-23","20","9.55","11.04"
"6042-52136-14-23","30","6.976","8.136"
"6042-52136-14-23","40","5.34","6.281"
"6042-52136-14-23","","",""
"6042-52136-14-23","","",""
"6042-52136-14-23","","",""
"6042-52136-14-25","20","9.004","10.47"
"6042-52136-14-25","30","6.621","7.766"
"6042-52136-14-25","40","5.068","5.999"
"6042-52136-14-25","","",""
"6042-52136-14-25","","",""
"6042-52136-14-25","","",""
"6042-52136-14-26","20","7.53","8.812"
"6042-52136-14-26","30","5.658","6.678"
"6042-52136-14-26","40","4.234","5.046"
"6042-52136-14-26","","",""
"6042-52136-14-26","","",""
"6042-52136-14-26","","",""
"6042-52136-14-27","20","7.049","8.274"
"6042-52136-14-27","30","5.293","6.264"
"6042-52136-14-27","40","4.122","4.921"
"6042-52136-14-27","","",""
"6042-52136-14-27","","",""
"6042-52136-14-27","","",""
"6042-52136-14-6","20","8.329","9.724"
"6042-52136-14-6","30","6.269","7.38"
"6042-52136-14-6","40","4.67","5.557"
"6042-52136-14-6","","",""
"6042-52136-14-6","","",""
"6042-52136-14-6","","",""
"6042-52136-14-7","20","11.21","12.92"
"6042-52136-14-7","30","8.158","9.479"
"6042-52136-14-7","40","6.206","7.27"
"6042-52136-14-7","","",""
"6042-52136-14-7","","",""
"6042-52136-14-7","","",""
"6042-52136-14-8","20","9.34","10.96"
"6042-52136-14-8","30","6.897","8.144"
"6042-52136-14-8","40","5.143","6.555"
"6042-52136-14-8","","",""
"6042-52136-14-8","","",""
"6042-52136-14-8","","",""
"6043-52134-2020-2","20","1.839","2.349"
"6043-52134-2020-2","30","1.5","1.936"
"6043-52134-2020-2","40","1.307","1.704"
"6043-52134-2020-2","","",""
"6043-52134-2020-2","","",""
"6043-52134-2020-2","","",""
"6044-52134-2020-2","20","2.539","3.218"
"6044-52134-2020-2","30","1.972","2.525"
"6044-52134-2020-2","40","1.636","2.115"
"6044-52134-2020-2","","",""
"6044-52134-2020-2","","",""
"6044-52134-2020-2","","",""
"6055-52136-19-11","20",".646",".957"
"6055-52136-19-11","25",".6",".897"
"6055-52136-19-11","30",".561",".823"
"6055-52136-19-11","","",""
"6055-52136-19-11","","",""
"6055-52136-19-11","","",""
"6055-52136-19-15","20",".81","1.091"
"6055-52136-19-15","30",".694",".944"
"6055-52136-19-15","40",".609",".837"
"6055-52136-19-15","","",""
"6055-52136-19-15","","",""
"6055-52136-19-15","","",""
"6055-52136-19-3","20",".771","1.04"
"6055-52136-19-3","30",".664",".904"
"6055-52136-19-3","40",".58",".799"
"6055-52136-19-3","","",""
"6055-52136-19-3","","",""
"6055-52136-19-3","","",""
"6055-52136-19-7","20",".945","1.262"
"6055-52136-19-7","30",".821","1.109"
"6055-52136-19-7","40",".71",".969"
"6055-52136-19-7","","",""
"6055-52136-19-7","","",""
"6055-52136-19-7","","",""
"6061-52136-15-3","10",".633",".86"
"6061-52136-15-3","20",".573",".788"
"6061-52136-15-3","30",".516",".718"
"6061-52136-15-3","","",""
"6061-52136-15-3","","",""
"6061-52136-15-3","","",""
"6099-52136-19-11","20","2.916","3.654"
"6099-52136-19-11","30","2.328","2.945"
"6099-52136-19-11","40","1.882","2.401"
"6099-52136-19-11","","",""
"6099-52136-19-11","","",""
"6099-52136-19-11","","",""
"6099-52136-19-3","20","2.867","3.601"
"6099-52136-19-3","30","2.267","2.872"
"6099-52136-19-3","40","1.831","2.411"
"6099-52136-19-3","","",""
"6099-52136-19-3","","",""
"6099-52136-19-3","","",""
"6099-52136-19-7","20","2.712","3.413"
"6099-52136-19-7","30","2.273","2.887"
"6099-52136-19-7","40","1.825","2.34"
"6099-52136-19-7","","",""
"6099-52136-19-7","","",""
