"OIL_VISC FILE"
"Oil_lab_num","Viscsty_temp (C)","Viscsty_abslt (mPa-S)","Viscsty_kinmtc (mm2/S)"
"0676-52137-2020-3","","",""
"0676-52137-2020-3","","",""
"0677-52134-2021-3","20","2.926","3.648"
"0677-52134-2021-3","30","2.271","2.858"
"0677-52134-2021-3","40","1.859","2.363"
"0677-52134-2021-3","","",""
"0677-52134-2021-3","","",""
"0677-52134-2021-3","","",""
"0696-52137-2020-2","20","1.077","1.427"
"0696-52137-2020-2","30",".931","1.246"
"0696-52137-2020-2","40",".814","1.102"
"0696-52137-2020-2","","",""
"0696-52137-2020-2","","",""
"0696-52137-2020-2","","",""
"0697-52137-2020-2","20","1.059","1.404"
"0697-52137-2020-2","30",".915","1.225"
"0697-52137-2020-2","40",".798","1.08"
"0697-52137-2020-2","","",""
"0697-52137-2020-2","","",""
"0697-52137-2020-2","","",""
"0698-52137-2020-2","20","1.204","1.58"
"0698-52137-2020-2","30","1.019","1.352"
"0698-52137-2020-2","40",".875","1.174"
"0698-52137-2020-2","","",""
"0698-52137-2020-2","","",""
"0698-52137-2020-2","","",""
"06OF192547A","25","1.23","1.57"
"06OF192547A","38",".97","1.25"
"06OF192547A","50",".78","1.01"
"0701-52136-18-2","20","2.919","3.644"
"0701-52136-18-2","30","2.338","2.945"
"0701-52136-18-2","40","1.924","2.446"
"0701-52136-18-2","","",""
"0701-52136-18-2","","",""
"0701-52136-18-2","","",""
"0701-52136-18-5","20","2.075","2.638"
"0701-52136-18-5","30","1.712","2.197"
"0701-52136-18-5","40","1.408","1.829"
"0701-52136-18-5","","",""
"0701-52136-18-5","","",""
"0701-52136-18-5","","",""
"0701-52136-18-8","20","2.828","3.539"
"0701-52136-18-8","30","2.282","2.882"
"0701-52136-18-8","40","1.886","2.404"
"0701-52136-18-8","","",""
"0701-52136-18-8","","",""
"0701-52136-18-8","","",""
"0713-52137-2020-2","20","1.046","1.385"
"0713-52137-2020-2","30",".891","1.192"
"0713-52137-2020-2","40",".768","1.039"
"0713-52137-2020-2","","",""
"0713-52137-2020-2","","",""
"0713-52137-2020-2","","",""
"0714-52137-2020-3","15","1.678","2.156"
"0714-52137-2020-3","20","1.517","1.959"
"0714-52137-2020-3","30","1.257","1.639"
"0714-52137-2020-3","","",""
"0714-52137-2020-3","","",""
"0714-52137-2020-3","","",""
"0731-52134-2022-1","15","1.263","1.668"
"0731-52134-2022-1","20","1.151","1.528"
"0731-52134-2022-1","30",".967","1.298"
"0731-52134-2022-1","","",""
"0731-52134-2022-1","","",""
"0731-52134-2022-1","","",""
"0731-52134-2022-11","10","2.188","2.802"
"0731-52134-2022-11","20","1.63","2.109"
"0731-52134-2022-11","30","1.177","1.538"
"0731-52134-2022-11","","",""
"0731-52134-2022-11","","",""
"0731-52134-2022-11","","",""
"0731-52134-2022-12","10","1.42","1.843"
"0731-52134-2022-12","20","1.152","1.511"
"0731-52134-2022-12","30",".95","1.259"
"0731-52134-2022-12","","",""
"0731-52134-2022-12","","",""
"0731-52134-2022-12","","",""
"0731-52134-2022-13","20",".77","1.048"
"0731-52134-2022-13","30",".626",".855"
"0731-52134-2022-13","40",".522",".72"
"0731-52134-2022-13","","",""
"0731-52134-2022-13","","",""
"0731-52134-2022-13","","",""
"0731-52134-2022-14","10","3.757","4.695"
"0731-52134-2022-14","20","2.799","3.532"
"0731-52134-2022-14","30","2.114","2.694"
"0731-52134-2022-14","","",""
"0731-52134-2022-14","","",""
"0731-52134-2022-14","","",""
"0731-52134-2022-16","20","2.901","3.674"
"0731-52134-2022-16","30","2.015","2.579"
"0731-52134-2022-16","40","1.567","2.026"
"0731-52134-2022-16","","",""
"0731-52134-2022-16","","",""
"0731-52134-2022-16","","",""
"0731-52134-2022-18","20","3.122","3.939"
"0731-52134-2022-18","30","2.169","2.764"
"0731-52134-2022-18","40","1.699","2.187"
"0731-52134-2022-18","","",""
"0731-52134-2022-18","","",""
"0731-52134-2022-18","","",""
"0731-52134-2022-2","10","2.052","2.618"
"0731-52134-2022-2","20","1.676","2.159"
"0731-52134-2022-2","30","1.398","1.819"
"0731-52134-2022-2","","",""
"0731-52134-2022-2","","",""
"0731-52134-2022-2","","",""
"0731-52134-2022-20","20","1.577","2.027"
"0731-52134-2022-20","30","1.275","1.656"
"0731-52134-2022-20","40","1.085","1.423"
"0731-52134-2022-20","","",""
"0731-52134-2022-20","","",""
"0731-52134-2022-20","","",""
"0731-52134-2022-22","10","2.168","2.746"
"0731-52134-2022-22","20","1.711","2.189"
"0731-52134-2022-22","30","1.36","1.757"
"0731-52134-2022-22","","",""
"0731-52134-2022-22","","",""
"0731-52134-2022-22","","",""
"0731-52134-2022-24","20","1.876","2.392"
"0731-52134-2022-24","30","1.486","1.913"
"0731-52134-2022-24","40","1.241","1.615"
"0731-52134-2022-24","","",""
"0731-52134-2022-24","","",""
"0731-52134-2022-24","","",""
"0731-52134-2022-26","20","2.443","3.093"
"0731-52134-2022-26","30","1.851","2.367"
"0731-52134-2022-26","40","1.518","1.961"
"0731-52134-2022-26","","",""
"0731-52134-2022-26","","",""
"0731-52134-2022-26","","",""
"0731-52134-2022-28","20","2.545","3.21"
"0731-52134-2022-28","30","2.15","2.738"
"0731-52134-2022-28","40","1.862","2.395"
"0731-52134-2022-28","","",""
"0731-52134-2022-28","","",""
"0731-52134-2022-28","","",""
"0731-52134-2022-3","10","1.067","1.414"
"0731-52134-2022-3","20",".887","1.189"
"0731-52134-2022-3","30",".726",".984"
"0731-52134-2022-3","","",""
"0731-52134-2022-3","","",""
"0731-52134-2022-3","","",""
"0731-52134-2022-30","10","4.006","4.961"
"0731-52134-2022-30","20","3.029","3.788"
"0731-52134-2022-30","30","2.48","3.131"
"0731-52134-2022-30","","",""
"0731-52134-2022-30","","",""
"0731-52134-2022-30","","",""
"0731-52134-2022-4","10","1.077","1.417"
"0731-52134-2022-4","20",".883","1.175"
"0731-52134-2022-4","30",".732",".984"
"0731-52134-2022-4","","",""
"0731-52134-2022-4","","",""
"0731-52134-2022-4","","",""
"0731-52134-2022-5","10","1.498","1.958"
"0731-52134-2022-5","20","1.156","1.526"
"0731-52134-2022-5","30",".871","1.162"
"0731-52134-2022-5","","",""
"0731-52134-2022-5","","",""
"0731-52134-2022-5","","",""
"0731-52134-2022-6","10","2.136","2.724"
"0731-52134-2022-6","20","1.733","2.232"
"0731-52134-2022-6","30","1.51","1.965"
"0731-52134-2022-6","","",""
"0731-52134-2022-6","","",""
"0731-52134-2022-6","","",""
"0731-52134-2022-9","20","1.551","2.005"
"0731-52134-2022-9","30","1.189","1.553"
"0731-52134-2022-9","40",".976","1.288"
"0731-52134-2022-9","","",""
"0731-52134-2022-9","","",""
"0731-52134-2022-9","","",""
"0753-52137-2020-3","20","1.053","1.387"
"0753-52137-2020-3","30",".901","1.198"
"0753-52137-2020-3","40",".775","1.042"
"0753-52137-2020-3","","",""
"0753-52137-2020-3","","",""
"0753-52137-2020-3","","",""
"0761-52134-2021-2","20","1.738","2.226"
"0761-52134-2021-2","30","1.418","1.836"
"0761-52134-2021-2","40","1.199","1.568"
"0761-52134-2021-2","","",""
"0761-52134-2021-2","","",""
"0761-52134-2021-2","","",""
"0762-52134-2020-4","15","1.725","2.239"
"0762-52134-2020-4","20","1.476","1.926"
"0762-52134-2020-4","25","1.287","1.688"
"0762-52134-2020-4","","",""
"0762-52134-2020-4","","",""
"0762-52134-2020-4","","",""
"0762-52134-2021-3","20","1.491","1.93"
"0762-52134-2021-3","30","1.238","1.62"
"0762-52134-2021-3","40","1.055","1.395"
"0762-52134-2021-3","","",""
"0762-52134-2021-3","","",""
"0762-52134-2021-3","","",""
"0763-52134-2020-4","15",".933","1.256"
"0763-52134-2020-4","20",".858","1.161"
"0763-52134-2020-4","30",".738","1.01"
"0763-52134-2020-4","","",""
"0763-52134-2020-4","","",""
"0763-52134-2020-4","","",""
"0763-52134-2021-3","20","1.751","2.245"
"0763-52134-2021-3","30","1.435","1.86"
"0763-52134-2021-3","40","1.208","1.581"
"0763-52134-2021-3","","",""
"0763-52134-2021-3","","",""
"0763-52134-2021-3","","",""
"0764-52134-2021-3","20","2.288","2.897"
"0764-52134-2021-3","30","1.868","2.388"
"0764-52134-2021-3","40","1.594","2.059"
"0764-52134-2021-3","","",""
"0764-52134-2021-3","","",""
"0764-52134-2021-3","","",""
"0764-52137-2020-2","15","1.004","1.335"
"0764-52137-2020-2","20",".92","1.231"
"0764-52137-2020-2","25",".789","1.062"
"0764-52137-2020-2","","",""
"0764-52137-2020-2","","",""
"0764-52137-2020-2","","",""
"0765-52137-2020-3","15","1.223","1.606"
"0765-52137-2020-3","20","1.125","1.485"
"0765-52137-2020-3","25","1.029","1.365"
"0765-52137-2020-3","","",""
"0765-52137-2020-3","","",""
"0765-52137-2020-3","","",""
"0766-52137-2020-3","15","1.923","2.488"
"0766-52137-2020-3","20","1.601","2.081"
"0766-52137-2020-3","25","1.353","1.767"
"0766-52137-2020-3","","",""
"0766-52137-2020-3","","",""
"0766-52137-2020-3","","",""
"07OE251650A","25","6.12","7.04"
"07OE251650A","38","4.32","5.02"
"07OE251650A","50","3.2","3.74"
"07OF252812A","25","3.63","4.45"
"07OF252812A","38","2.68","3.32"
"07OF252812A","50","2.06","2.58"
"07OG211080A","25","4.12","4.98"
"07OG211080A","38","2.9","3.55"
"07OG211080A","50","2.22","2.74"
"0800-52134-2021-3","20","2.942","3.697"
"0800-52134-2021-3","30","2.28","2.893"
"0800-52134-2021-3","40","1.893","2.427"
"0800-52134-2021-3","","",""
"0800-52134-2021-3","","",""
"0800-52134-2021-3","","",""
"0801-52134-2021-2","15","1.475","1.913"
"0801-52134-2021-2","20","1.359","1.773"
"0801-52134-2021-2","30","1.197","1.577"
"0801-52134-2021-2","","",""
"0801-52134-2021-2","","",""
"0801-52134-2021-2","","",""
"0802-52134-2021-2","20","1.395","1.82"
"0802-52134-2021-2","30","1.149","1.515"
"0802-52134-2021-2","40",".968","1.291"
"0802-52134-2021-2","","",""
"0802-52134-2021-2","","",""
"0802-52134-2021-2","","",""
"0803-52134-2021-3","15","3.01","3.758"
"0803-52134-2021-3","20","2.68","3.362"
"0803-52134-2021-3","30","2.242","2.84"
"0803-52134-2021-3","","",""
"0803-52134-2021-3","","",""
"0803-52134-2021-3","","",""
"0804-52134-2020-4","20",".971","1.299"
"0804-52134-2020-4","30",".811","1.098"
"0804-52134-2020-4","40",".706",".966"
"0804-52134-2020-4","","",""
"0804-52134-2020-4","","",""
"0804-52134-2020-4","","",""
"0807-52137-2020-2","20","1.208","1.585"
"0807-52137-2020-2","30","1.012","1.342"
"0807-52137-2020-2","40",".876","1.174"
"0807-52137-2020-2","","",""
"0807-52137-2020-2","","",""
"0807-52137-2020-2","","",""
"0809-52137-2020-2","20","1.016","1.351"
"0809-52137-2020-2","30",".851","1.145"
"0809-52137-2020-2","40",".734",".997"
"0809-52137-2020-2","","",""
"0809-52137-2020-2","","",""
"0809-52137-2020-2","","",""
"0819-52137-2020-3","15","1.446","1.881"
"0819-52137-2020-3","20","1.297","1.695"
"0819-52137-2020-3","25","1.168","1.535"
"0819-52137-2020-3","","",""
"0819-52137-2020-3","","",""
"0819-52137-2020-3","","",""
"0821-52137-2020-3","10","1.885","2.431"
"0821-52137-2020-3","15","1.679","2.175"
"0821-52137-2020-3","20","1.486","1.935"
"0821-52137-2020-3","","",""
"0821-52137-2020-3","","",""
"0821-52137-2020-3","","",""
"0845-52134-2016-2","20","3.788","4.611"
"0845-52134-2016-2","30","2.961","3.638"
"0845-52134-2016-2","40","2.39","2.963"
"0845-52134-2016-2","","",""
"0845-52134-2016-2","","",""
"0845-52134-2016-2","","",""
"0845-52134-2016-5","20","6.399","7.58"
"0845-52134-2016-5","30","4.767","5.695"
"0845-52134-2016-5","40","3.688","4.445"
"0845-52134-2016-5","","",""
"0845-52134-2016-5","","",""
"0845-52134-2016-5","","",""
"0845-52134-2016-7","20","1.585","2.017"
"0845-52134-2016-7","30","1.335","1.716"
"0845-52134-2016-7","40","1.141","1.482"
"0845-52134-2016-7","","",""
"0845-52134-2016-7","","",""
"0845-52134-2016-7","","",""
"0877-52137-2020-3","15","1.637","2.112"
"0877-52137-2020-3","20","1.495","1.938"
"0877-52137-2020-3","30","1.248","1.634"
"0877-52137-2020-3","","",""
"0877-52137-2020-3","","",""
"0877-52137-2020-3","","",""
"0879-52137-2020-3","15","1.648","2.128"
"0879-52137-2020-3","20","1.499","1.945"
"0879-52137-2020-3","30","1.23","1.612"
"0879-52137-2020-3","","",""
