"OIL_DIST FILE"
"Oil_lab_num","Fractn_distlld_vol","Distlltn_temp (C)"
"0441-52134-2016-7","",""
"0441-52134-2016-7","",""
"0441-52134-2016-7","",""
"0441-52134-2016-7","",""
"0441-52134-2016-7","",""
"0441-52134-2016-7","",""
"0441-52134-2016-7","",""
"0441-52134-2016-7","",""
"0441-52134-2016-7","",""
"0441-52134-2016-7","",""
"0443-52134-2016-3","",""
"0443-52134-2016-3","",""
"0443-52134-2016-3","",""
"0443-52134-2016-3","",""
"0443-52134-2016-3","",""
"0443-52134-2016-3","",""
"0443-52134-2016-3","",""
"0443-52134-2016-3","",""
"0443-52134-2016-3","",""
"0443-52134-2016-3","",""
"0443-52134-2016-3","",""
"0443-52134-2016-3","",""
"0443-52134-2016-3","",""
"0443-52134-2016-3","",""
"0443-52134-2016-3","",""
"0443-52134-2016-3","",""
"0443-52134-2016-3","",""
"0443-52134-2016-3","",""
"0443-52134-2016-3","",""
"0443-52134-2016-3","",""
"0443-52134-2016-7","",""
"0443-52134-2016-7","",""
"0443-52134-2016-7","",""
"0443-52134-2016-7","",""
"0443-52134-2016-7","",""
"0443-52134-2016-7","",""
"0443-52134-2016-7","",""
"0443-52134-2016-7","",""
"0443-52134-2016-7","",""
"0443-52134-2016-7","",""
"0443-52134-2016-7","",""
"0443-52134-2016-7","",""
"0443-52134-2016-7","",""
"0443-52134-2016-7","",""
"0443-52134-2016-7","",""
"0443-52134-2016-7","",""
"0443-52134-2016-7","",""
"0443-52134-2016-7","",""
"0443-52134-2016-7","",""
"0443-52134-2016-7","",""
"0473-52137-2020-3","",""
"0473-52137-2020-3","",""
"0473-52137-2020-3","",""
"0473-52137-2020-3","",""
"0473-52137-2020-3","",""
"0473-52137-2020-3","",""
"0473-52137-2020-3","",""
"0473-52137-2020-3","",""
"0473-52137-2020-3","",""
"0473-52137-2020-3","",""
"0473-52137-2020-3","",""
"0473-52137-2020-3","",""
"0473-52137-2020-3","",""
"0473-52137-2020-3","",""
"0473-52137-2020-3","",""
"0473-52137-2020-3","",""
"0473-52137-2020-3","",""
"0473-52137-2020-3","",""
"0473-52137-2020-3","",""
"0473-52137-2020-3","",""
"0475-52137-2020-3","",""
"0475-52137-2020-3","",""
"0475-52137-2020-3","",""
"0475-52137-2020-3","",""
"0475-52137-2020-3","",""
"0475-52137-2020-3","",""
"0475-52137-2020-3","",""
"0475-52137-2020-3","",""
"0475-52137-2020-3","",""
"0475-52137-2020-3","",""
"0475-52137-2020-3","",""
"0475-52137-2020-3","",""
