"F_OPERATOR FILE"
"Fac Id Code","Oper Id","Fac Oper Eff Period","Fac Oper Term Period"
"00000115","00047","201102",""
"00000115","00651","197808","201102"
"00000116","00048","199010","199312"
"00000116","00208","201612",""
"00000116","00297","199312","199905"
"00000116","00514","200010","200211"
"00000116","00543","199905","200010"
"00000116","00794","200211","200406"
"00000116","00794","200406","201612"
"00000117","00048","199010","199709"
"00000117","00237","201910",""
"00000117","00440","199709","201910"
"00000118","00665","198904","199612"
"00000118","00691","200207","201212"
"00000118","00691","201212","201811"
"00000118","00691","201811",""
"00000118","00696","200207","200207"
"00000118","00706","201212","201212"
"00000118","00763","199612","200207"
"00000119","00237","197802",""
"00000120","00237","201912",""
"00000120","00880","198904","201912"
"00000121","00233","200507","201812"
"00000121","00237","201912",""
"00000121","00416","201812","201912"
"00000121","00665","198904","200507"
"00000122","00233","200507","201102"
"00000122","00237","201102",""
"00000122","00665","198904","200507"
"00000123","00237","200211",""
"00000123","00666","198103","200211"
"00000124","00237","200105",""
"00000124","00666","198904","200105"
"00000125","00364","201204","202108"
"00000125","00530","202108",""
"00000125","07980","201101","201204"
"00000126","00237","199702",""
"00000126","00716","198904","199702"
"00000127","00237","201503",""
"00000127","00440","199809","201503"
"00000128","00237","201503",""
"00000128","00440","199401","201503"
"00000128","00720","198904","199401"
"00000129","00237","201503",""
"00000129","00440","199401","201503"
"00000129","00720","198904","199401"
"00000130","00237","201503",""
"00000130","00440","199809","201503"
"00000131","00237","201503",""
"00000131","00440","197806","201503"
"00000132","00237","201503",""
"00000132","00440","199401","201503"
"00000132","00720","198904","199401"
"00000133","00237","201503",""
"00000133","00440","199911","201503"
"00000134","00083","199107","199706"
"00000134","00099","199706","200605"
"00000134","00237","200605",""
"00000134","09850","198904","199107"
"00000135","00237","201910",""
"00000135","00440","201012","201910"
"00000135","00720","198904","201012"
"00000136","00237","201910",""
"00000136","00440","201012","201910"
"00000136","00720","198904","201012"
"00000137","00237","201910",""
"00000137","00440","199401","201910"
"00000137","00720","198904","199401"
"00000138","00237","201910",""
"00000138","00301","199510","201910"
"00000138","00333","199208","199510"
"00000139","00174","199307","201012"
"00000139","00710","201012","201911"
"00000139","00819","201911","202006"
"00000139","02011","202006",""
"00000140","00174","199307","201012"
"00000140","00710","201012","201911"
"00000140","00819","201911","202006"
"00000140","02011","202006",""
"00000141","00349","199901","200105"
"00000141","00349","200707","200707"
"00000141","00575","200105","200707"
"00000141","00759","198904","199901"
"00000141","00802","201605",""
"00000141","08195","200707","200707"
"00000141","08203","200707","201605"
"00000142","00691","201212","201811"
"00000142","00691","201811",""
"00000142","00706","201212","201212"
"00000142","00769","199208","201102"
"00000142","07006","201102","201212"
"00000143","00691","201009","201212"
"00000143","00691","201212","201811"
"00000143","00691","201811",""
"00000143","00706","201212","201212"
"00000143","00769","198904","201009"
"00000144","00769","198904","202002"
"00000144","01111","202002",""
"00000145","00237","201212",""
"00000145","00680","199703","200104"
"00000145","00682","199306","199703"
"00000145","00691","200207","201212"
"00000145","00696","200207","200207"
"00000145","00763","200104","200207"
"00000145","00769","198904","199306"
"00000146","00020","200608","200801"
"00000146","00174","200510","200608"
"00000146","00567","199301","199401"
"00000146","00591","198912","199301"
"00000146","00710","200608","200608"
"00000146","00783","198503","198503"
"00000146","00819","201706","202006"
"00000146","00923","198503","198912"
"00000146","02011","202006",""
"00000146","07168","199401","200510"
"00000146","07677","200608","200608"
"00000146","08203","200801","201706"
"00000147","00237","199810",""
"00000147","00786","198904","199810"
"00000148","01111","202001",""
"00000148","09850","198904","202001"
"00000149","00850","201205","201407"
"00000149","01111","201407",""
"00000149","09850","198904","201205"
"00000150","00850","201205","201407"
"00000150","01111","201407",""
"00000150","09850","198904","201205"
"00000151","00850","201205","201407"
"00000151","01111","201407",""
"00000151","09850","198904","201205"
"00000152","00850","201205","201407"
"00000152","01111","201407",""
"00000152","09850","198904","201205"
"00000153","00083","199107","199705"
"00000153","00237","201102",""
