Well Authorization Number,Completion Event Sequence,UWI,Zone Prod Period,Area Code,Formtn Code,Well Area Name,Oper Abbreviation,Production Days,Gas Production (e3m3),Oil Production (m3),Condensate Production (m3),Water Production (m3),Marketable Gas Volume (e3m3),Ethane Sales Volume (m3),Propane Sales Volume (m3),Butane Sales Volume (m3),Pentane Sales Volume (m3)
32254,00,100081808113W600,202203,9021,5000,MICA,LEUCROTTA,31,269.3,62.1,0,58.1,261.3,0,0,0,6.2
35080,00,102023107717W600,202203,9021,5000,SUNDOWN,MURPHY,31,4428.2,0,0,1.9,4291.3,0,0,0,0
35310,00,202A015L094A1200,202204,9022,5000,BLUEBERRY,COP,30,722.2,0,0,952.5,565.9,0,76.4,60,491.3
35379,00,103121208016W600,202204,9021,5000,SUNRISE,TOURMALINE,30,319.9,0,0,138.5,295,.4,16,15.8,24.5
17111,02,200B088F094H0102,202202,3430,4610,DRAKE,CNRL,28,107.7,0,1.1,5.3,,,,,
29596,00,102132008016W600,202204,9021,5000,PARKLAND,ARCRES,12,283.9,0,12.8,2.9,275.6,0,1.5,3.6,6.3
30212,00,202C039D094H0300,202204,9022,5000,NIG,CNRL,30,555.2,0,21.8,4.7,485.8,0,17.8,26.4,20.8
30230,00,102142108723W600,202204,4900,4900,INGA,COP,22.4,480.6,0,1.2,0,403.9,.4,60.8,30,9.4
30252,00,203C047H094G0200,202203,9022,5000,JULIENNE,PETRONAS,27,712.9,0,1.2,31.7,680.4,.3,1.4,2.2,6.2
31017,00,202A040H094B0800,202204,9022,5000,ALTARES,PACIFIC CANBRIAM,30,2674.6,0,0,477.4,2541.5,1,98.1,122.1,243.1
35407,00,103161907817W600,202204,9021,5000,SUNRISE,ARCRES,29.5,1400.5,0,0,52.3,1400.9,0,0,0,4.6
35413,00,103161608015W600,202204,9021,5000,DOE,ARCRES,26.8,1293.5,0,0,47.6,1170.1,7,76.2,75.1,104.5
35446,02,100022708219W602,202203,9021,5000,WILDER,CREW,29.1,221.8,0,0,581.1,184.7,.3,14.6,14.8,193.2
05363,04,200D095A093P0104,202202,5170,2510,KELLY,CVE ENERGY,28,60,0,0,1.3,,,,,
00944,02,200B028F094G0802,202202,5000,4150,JEDNEY,PETRONAS,7.8,26.2,0,.4,1.5,,,,,
07502,00,100092508418W600,202204,3440,6250,EAGLE,CNRL,22.3,13.3,48.2,0,.4,,,,,
18855,02,200D003E094I0502,202202,3455,8200,SWAT,NTE CANADA,28,57.4,0,.9,3.3,,,,,
28611,00,102073207920W600,202202,9021,5000,GROUNDBIRCH,SHELL,26,279.2,0,0,.8,,,,,
07350,00,200D037I094P1000,202202,4700,8200,HELMET,CNRL,24,85.1,0,.1,2.2,,,,,
02865,00,100070208514W600,202204,2000,4535,BOUNDARY,WHITECAP,30,5.4,18,0,394.3,,,,,
28172,00,200B054J094A1300,202202,1260,4100,BIRCH,CNRL,19.7,106.4,97.7,0,604.7,,,,,
29038,00,102053308119W600,202204,9021,5000,SEPTIMUS,CREW,30,356.1,0,0,4.7,359,0,0,0,7.3
29606,00,203A043A094G0700,202203,9022,5000,CARIBOU,PETRONAS,30.9,771.9,0,.7,26.5,704.8,0,0,0,0
29617,02,200B098D094H0402,202204,9022,5000,NORTHERN MONTNEY,TOURMALINE,28.9,537.9,0,0,87.1,498.7,0,1.2,11.5,35.7
29635,00,102082707918W600,202203,9021,5000,SUNSET,SHELL,31,1825.5,0,0,162.5,1781.4,2.1,10.2,12.7,26
29639,00,100162207918W600,202203,9021,5000,SUNSET,SHELL,31,3030.2,0,0,115,2957.6,3.5,15.5,18.4,50.4
29649,00,200A040D094H0300,202203,9022,5000,NIG,CNRL,31,673.8,0,5.6,2.2,602.9,0,19.1,26.4,18.9
30278,00,100130607717W600,202203,9021,5000,SUNDOWN,TOURMALINE,20.6,431.9,0,0,0,415.9,0,0,0,0
