"DST_RATE FILE"
"Wa_num","Drillng_event_seq","Dst_num","Flowing_fluid_type","Init_fluid_rate","Avg_fluid_rate","Final_fluid_rate"
"00156","00","004","GAS","21.297","0","33.161"
"00157","00","004","GAS","230.182","0","346.54"
"00157","00","007","GAS","8.734","0","0"
"00158","02","001","GAS","0","7.044","21.13"
"00159","00","001","GAS","20.567","0","24.061"
"00159","00","002","GAS","21.776","0","24.793"
"00159","00","003","GAS","2.817","0","0"
"00159","00","005","GAS","45.078","0","84.522"
"00160","00","004","GAS","123.966","0","61.983"
"00160","00","005","GAS","28.174","0","0"
"00164","00","008","GAS","0","0","5.519"
"00164","00","013","GAS","6.762","0","7.889"
"00164","00","014","GAS","29.583","0","60.574"
"00164","00","015","GAS","142.839","0","307.096"
"00164","00","016","GAS","13.693","0","12.904"
"00165","00","001","GAS","112.132","0","0"
"00165","00","004","GAS","2.648","0","1.324"
"00166","00","004","GAS","0","0","19.184"
"00166","00","007","GAS","5.24","0","22.593"
"00166","00","008","GAS","0","0","233.929"
"00166","00","009","GAS","0","0","6.424"
"00168","00","001","GAS","7.889","0","27.047"
"00168","00","008","GAS","20.68","0","35.217"
"00168","00","009","GAS","0","0","3.719"
"00170","00","002","GAS","0","0","7.576"
"00170","00","003","GAS","0","0","46.543"
"00170","00","005","GAS","0","0","122.557"
"00170","00","006","GAS","0","0","42.484"
"00170","00","021","GAS","0","0","4.226"
"00170","00","023","GAS","0","0","2.758"
"00171","00","001","GAS","18.877","0","31.27"
"00171","00","002","GAS","58.123","58.123","58.123"
"00171","00","004","GAS","1.747","0","0"
"00171","00","006","GAS","79.253","0","175.101"
"00171","00","008","GAS","3.913","0","3.043"
"00171","00","009","GAS","9.126","0","0"
"00172","00","002","GAS","39.159","0","46.487"
"00172","00","004","GAS","9.576","0","31.555"
"00172","00","005","GAS","144.476","0","330.199"
"00172","00","006","GAS","1.747","0","1.747"
"00172","00","008","GAS","1.24","0","0"
"00173","00","004","GAS","2.479","0","1.69"
"00173","00","005","GAS","9.889","0","38.88"
"00173","00","007","GAS","77.983","0","236.774"
"00173","00","008","GAS","47.332","0","61.56"
"00174","00","004","GAS","31.27","0","70.35"
"00174","00","006","GAS",".563","0","1.972"
"00175","00","006","GAS","4.226","0","12.058"
"00177","00","001","GAS","11.608","0","20.708"
"00178","00","001","GAS","1.747","0","0"
"00180","00","003","GAS","12.368","0","15.777"
"00180","00","004","GAS","23.215","0","26.568"
"00180","00","006","GAS","61.138","0","12.904"
"00180","00","008","GAS","0","12.03","0"
"00181","00","007","GAS","88.748","0","123.966"
"00182","00","004","GAS","3.733","0","3.95"
"00182","00","005","GAS","0","0","4.086"
"00182","00","006","GAS","3.25","0","3.989"
"00182","00","009","GAS","12.397","0","20.68"
"00185","00","002","GAS","151.294","0","0"
"00187","00","003","GAS","1.747","0","1.24"
"00194","00","002","GAS","75.45","0","110.667"
"00194","00","004","GAS","32.964","0","53.812"
"00194","00","005","GAS","3.043","0","3.043"
"00194","00","007","GAS","9.576","0","12.397"
"00194","00","008","GAS","1.747","1.747","1.747"
"00194","00","010","GAS","1.747","0","2.254"
"00194","00","011","GAS","8.452","0","7.044"
"00195","00","002","GAS","144.42","0","211.305"
"00196","00","002","GAS","2.054","0","4.085"
"00197","00","002","GAS","6.762","0","16.904"
"00197","00","003","GAS","58.123","0","153.405"
"00197","00","004","GAS","512.767","0","512.767"
"00198","00","002","GAS","27.132","0","43.498"
"00198","00","003","GAS","17.75","0","29.047"
"00198","00","004","GAS","64.8","0","115.232"
"00200","00","003","GAS","2.817","0","0"
"00200","00","004","GAS",".702","0","0"
"00201","00","001","GAS","6.649","0","0"
"00201","00","004","GAS","45.783","0","45.783"
"00201","00","005","GAS","211.305","0","295.827"
"00205","00","007","GAS",".021","0",".037"
"00205","00","010","GAS","6.734","0","11.041"
"00210","00","001","GAS","11.157","0","12.058"
"00210","00","002","GAS","15.127","0","12.058"
"00210","00","004","GAS","106.498","0","120.021"
"00211","00","001","GAS","15.127","0","18.313"
"00211","00","002","GAS","0","0","3.913"
"00211","00","003","GAS","28.737","0","36.626"
"00211","00","005","GAS","4.367","0","1.409"
"00213","00","001","GAS","74.182","0","132.418"
"00213","00","002","GAS","22.959","0","50.854"
"00215","02","001","GAS","11.157","0","13.693"
"00216","00","001","GAS","14.087","0","70.66"
"00216","00","002","GAS","1.409","0","2.817"
"00219","00","001","GAS","1.24","1.24","1.24"
"00219","00","003","GAS","14.031","0","35.217"
"00219","00","004","GAS","34.091","0","123.966"
"00219","00","005","GAS","0","0","130.586"
"00219","00","006","GAS","0","6.618","0"
"00219","00","008","GAS","0","391.618","0"
"00219","00","009","GAS","0","0","240.042"
"00220","00","004","GAS","79.842","0","77.814"
"00220","00","005","GAS","30.794","0","42.853"
"00220","00","006","GAS","16.904","0","24.089"
"00220","00","007","GAS","49.755","0","56.235"
"00220","00","008","GAS","6.762","0","11.27"
"00227","00","011","GAS","0","8.224","0"
