"OIL_ANAL FILE"
"UWI","Area_code","Formtn_code","Pool_seq","Wa_num","Drillng_event_seq","Oil_lab_num","Sample_point_code","Test_Perf_Flag","Oil_anlyss_base_depth (m)","Oil_anlyss_top_depth (m)","Sample_date","Bsw_total","Reltv_densty (kg/m3)","Abslt_oil_densty (kg/m3)","Api_gravty","Tot_sulphr_mass_fractn","Pour_point_usb_m (C)","Distlltn_crackd (C)","Naphtha_fractn_200C","Kersn_fractn_275C","Light_gas_oil_fractn_350C","Charctrzed_factor","Invert_mud_sample","Oil_anlyss_comments","Pour_point_astm (C)","Press_recvd (kPa)","Temp_recvd (C)","Distlltn_method_type","Final_boil_point (C)","Project_code"
"100151208621W600","8100","6200","L","21711","00","B686792-PR2700","OTH","","2420","2129","20160910",".026",".828","827.3","39.4",".146","","","","","","","","","-18","","23","","","02"
"200A077J094A1100","2400","2900","C","21881","00","2131585","SEP","","1111.3","1101.4","20070115",".044",".853","852","34.5",".0104","","",".24",".15","","12","","","-9","","","MOD","","03"
"200D052F094G0200","5810","4980","A","22050","00","52136-2010-9026","SEP","","2017","2014","20100129","0","","765.6","53.2","0","","","","","","","","","-60","","","","","00"
"100161008618W600","6460","4535","A","22573","00","07OG211080A","OTH","","1275.7","1272.3","20070216",".002",".835","834","38.1",".003","","",".28",".44",".67","12","","","3","","","MOD","357.6","02"
"100130508822W600","2920","4900","X","22671","00","A723311:F49298","OTH","","1760.3","1721.6","20070522",".5",".775","774","51.1",".477","","","","","","","","","","","23","","","00"
"102160508613W602","2000","4800","M","22802","02","07OF252812A","OTH","","1498.5","1490.7","20071207","",".823","822","40.4",".0043","","","","","","12.1","","0-86 Distillation, BS&W, & Pour Point not performed due to insufficient amount of oil sample.","","","","","","02"
"200D054B093P0900","9021","5000","A","22867","00","07OE251650A","OTH","","2803","2572.5","20071123",".33",".877","876.4","29.81",".01756","","","",".18",".74","11.5","","","-36","","","ASTM D86","356.6","00"
"200B070A094A1300","3540","2900","L","22913","00","14OF805412A","PT","","1652","1387","20140128",".006",".84","839.1","36.99",".0056","","",".28",".16",".16","11.8","","","0","","","A.S.T.M. D-86","356.5","02"
"103162908513W600","2000","7300","C","22957","00","B519682-LV8619","OTH","","1915","1907","20150309","0",".747","746.3","57.9",".0001","","","0","0","","","","","","","23","","0","00"
"103162908513W600","2000","7300","C","22957","00","B625570-OK1680","OTH","","1915","1907","20160405",".292",".747","746.2","58",".011","","","","","","","","","-35","","23","","193.9","00"
"103162908513W600","2000","7300","C","22957","00","B825275-TF5464","OTH","","1915","1907","20180404","0",".745","744.1","58.5",".006","","","","","","","","","","","23","","","00"
"103162908513W600","2000","7340","","22957","00","B834469-TJ7239","OTH","","1928.5","1924","20180504",".254","",".1","","0","","","","","","","","","-35","","23","","","00"
"103162908513W600","2000","7300","C","22957","00","B925003-VM2186","OTH","","1915","1907","20190403",".168",".742","741.4","59.2",".009","","","","","","","","","-35","","23","","","00"
"103162908513W600","2000","7300","C","22957","00","C025046-XQ5025","OTH","","1915","1907","20200409",".001",".744","743.1","58.7",".006","","","","","","","","","-35","","23","","","00"
"103162908513W600","2000","7300","C","22957","00","C130696-ZT4780","OTH","","1915","1907","20210507","0",".741","740.7","59.4",".017","","","","","","","","","-35","","23","","","00"
"100021208621W600","8100","6200","L","23422","00","B553939-MN4972","OTH","","2533","2054","20150623","0",".824","823.1","40.3",".00177","","","0","0","","","","","","","23","","0","02"
"100021208621W600","8100","6200","L","23422","00","B6B4808-QI3147","WHD","","2533","2054","20161223",".061",".822","821.5","40.6",".146","","","","","","","","","-24","","23","","","02"
"200B012G093P0900","9021","5000","A","23786","00","52136-2008-1131-1","SEP","","4256.5","2850","20080516","0","","722.8","64.2","0","","","","","","","","","-60","","","","","00"
"200B012G093P0900","9021","5000","A","23786","00","52136-2008-1131-2","SEP","","4256.5","2850","20080516","0","","724.3","63.8","0","","","","","","","","","-60","","","","","00"
"200B012G093P0900","9021","5000","A","23786","00","52136-2008-6516-1","SEP","","4256.5","2850","20080515","0","","716.1","66","0","","","","","","","","","-60","","","","","00"
"200B012G093P0900","9021","5000","A","23786","00","52136-2008-6516-2","SEP","","4256.5","2850","20080515","0","","720.8","64.7","","","","","","","","","","-60","","","","","00"
"200D091H094H0200","8740","4800","E","23844","00","08OF261704A","SEP","","1098.5","1094.6","20080228","","","817","41.7",".0072","","",".29",".27",".19","12","","","","","","MOD","356.7","02"
"100080808613W600","2000","4800","M","23855","00","08OF264125A","OTH","","1444.5","1433.1","20080312",".002",".812","811","42.9",".0043","","",".3",".2",".22","12.3","","The distillation temperatures have been corrected to 101.3 kPa (abs).","3","35","4.7","MOD","356.6","02"
"100132108613W600","2000","4800","M","23860","00","08OG282223B","OTH","","1403.5","1386","20080707",".041",".807","807","43.8",".0043","","",".45",".15",".17","12","","","-12","","","ENG","356.3","02"
"100132108613W600","2000","4800","M","23860","00","52136-2009-9019","SEP","","1403.5","1386","20090128",".01","","824","40.1","","","","","","","","","","","","","","","02"
"100042108613W600","2000","4800","M","23861","00","08OF265312A","OTH","","1392","1382.5","20080323",".002",".817","816","41.7",".0044","","",".27",".22",".23","10","","","-6","","","ENG","356.5","02"
"100042108613W600","2000","4800","M","23861","00","52136-2008-9166","OTH","","1392","1382.5","20080628",".014","","818","41.3","","","","","","","","","","-6","","","","","02"
"100042108613W600","2000","4800","M","23861","00","52136-2008-9306-","SEP","","1392","1382.5","20081119",".03","","813","42.5","","","","","","","","","","-15","","","","","02"
"200C079A093I0902","6480","0180","C","23938","02","15OF017302A","OTH","","2725","2710","20150902",".001",".844","843.2","36.17","0","","","0","0","0","","","BS&W performed on oil portion only.","0","","","A.S.T.M. D-86","0","00"
"100042908113W600","5860","4900","D","23999","00","08OF286514A","SEP","","1664.3","1662.3","20080806","","","801","45","","","",".36",".17",".17","12.2","","BS&W performed on oil portion only. The distillation temperatures have been corrected to 101.3 kPa(abs).","-42","","","","356.7","02"
"100042908113W600","5860","4900","D","23999","00","9009-52136-18-2","OTH","","1666","1662","20180108","","","796.8","","","","","0","0","0","","","","-36","","","","","02"
"100042908113W600","5860","4900","D","23999","00","9221-52136-15-4","OTH","","1666","1662","20150807","","","794.7","","","","","0","0","0","","","","-36","","","","","02"
"100042908113W600","5860","4900","D","23999","00","9253-52136-17-4","OTH","","1666","1662","20170804",".003","","801.8","","","","","0","0","0","","","Free water (volume %) = 12","-24","","","","","02"
"100153108214W600","8200","5000","A","24121","00","52136-2009-9177","WHD","","1665.8","1634.6","20090731","","","816","41.9","7.69","","","","","","","","","-15","","","","","00"
"100152907814W600","3400","3030","A","24222","00","09OG317595A","MET","","1653","1650","20090215","0",".797","796.2","46.07",".00409","","",".59",".4","","11.6","","","-51","","","ASTM D86","270.5","00"
"100160107818W600","8115","4900","L","24334","00","09OG311388B","MET","","2484","2468.5","20081231","0",".738","737.5","60.21",".00056","","",".75",".17",".07","12.1","","","-42","","","ASTM D86","337.2","00"
"100153408018W600","9021","5000","A","24410","00","52136-2008-7201","MET","","2335","2092","20081223","0","","733.2","61.4","","","","","","","","","","","","","","","00"
"100120608621W600","7410","4900","B","24530","00","10OG378447A","OTH","","2600","1743.3","20100101",".012",".804","804","44.4",".0075","","",".42",".22",".15","12","","","","","","MOD","356.7","03"
"100120608621W600","7410","4900","B","24530","00","10OG378447B","OTH","","2600","1743.3","20100101",".01",".805","804","44.3",".0078","","",".41",".24",".15","12","","","","","","MOD","357","03"
"200C100C094H0300","9022","5000","A","24706","00","52136-2009-0477","MET","","1498","1474","20090222",".001","","723.9","63.9",".00065","","","","","","","","","-60","","","","","00"
"102073108513W600","2000","5000","A","24760","00","52134-2009-4487","SEP","","1467.4","1460.2","20091123",".006","","811","43","4.93","","","","","","","","","-39","","","ENG","","00"
"200D005B094G0802","9000","4800","D-005-B/094-G-08","24808","02","52136-2010-9100","OTH","","1590","1582","20100329","","","736.1","60.7","0","","","","","","","","","","","","D86-Modified","","00"
"100010208821W600","8100","4100","C","24899","00","52136-2009-6186","WHD","","1279","1263","20090218",".002","","847","35.5","","","","","","","","","","-12","","","","","00"
"100120408017W600","9021","5000","A","24939","00","14F876175","MET","","4045.5","2258.5","20140814",".001","",".1","62.8",".00004","","",".84",".09",".05","12.2","","","-51","","","A.S.T.M. D-86","313.9","00"
"100013407917W600","9021","5000","A","25130","00","14F874545","MET","","4043","2584","20140811",".001","",".1","61.72",".00002","","",".86",".12","0","12.1","","","-51","","","A.S.T.M. D-86","286.9","00"
"100163507915W600","9021","5000","A","25256","00","2686320","SEP","","3981","2236","20211028","",".707","706.4","68.8",".0024","","","","","","","","","","","","D86-Modified","196","00"
"100153107914W600","9021","5000","A","25785","00","2686317","SEP","","3665.5","2089","20211027","",".725","724.4","63.8",".002","","","","","","","","","","","","D86-Modified","213","00"
"200D028J094O1100","5852","2805","A","25976","00","52136-2010-6212","OTH","","3200","2056","20100327","","","820","41","","-60","","","","","","","","","","","","","03"
"102080808017W600","9021","5000","A","26037","00","52136-2010-6292","MET","","4249.5","2450","20100514","0","","742.3","59.1","0","","","","","","","","","-60","","","","","00"
"200A033A093P0900","9021","5000","A","26056","00","11OG480941A","SEP","","4555","2844","20110209",".01",".728","726.9","63",".00008","","",".9",".08","","12","","","-51","","","ASTM D86","268.9","00"
"200C017J094B1600","9022","5000","A","26070","00","52136-2011-9003","MET","","3558","2126","20110111","0","","704.4","69.3","0","","","","","","","","","-60","","","","","00"
"100063307814W600","9021","5000","A","26096","00","11OG46663A","PT","","3911.5","2198.5","20110117",".004",".734","733.7","61.2",".00017","","",".84",".09",".05","12","","","-51","","","ASTM D86","302.2","00"
"100012208514W600","2000","4535","A","26134","00","6551-52136-15-8","WHD","","1321.5","1316","20150730","","","853.4","","","","","0","0","0","","","Free water (volume %) = 65","-42","","","","","04"
"100012208514W600","2000","4535","A","26134","00","9015-52136-16-64","TUB","","1321.5","1316","20160126",".16","","856.6","","","","","0","0","0","","","Free water (volume %) = 80","-21","","","","","04"
"100093407917W600","9021","5000","A","26147","00","14F875555","OTH","","3560.5","2330","20140813",".001","",".1","61.77",".00004","","",".91",".07","0","12","","The Distillation temperatures have been corrected to 101.3 KPa (Abs).","-51","","","A.S.T.M. D-86","251","00"
"202D050J094B1602","9022","5000","A","26155","02","52136-2011-9003-1","MET","","3610.5","2161","20110111","0","","722.9","64.2","0","","","","","","","","","-60","","","","","00"
"100043508016W600","9021","5000","A","26386","00","10OG459972A","PT","","3381.5","2085","20101208",".003",".722","721.1","64.55",".00003","","",".86",".12","","12.1","","","-51","","","ASTM D86","257.8","00"
"100053108117W600","9021","5000","A","26395","00","15OF977227A","OTH","","3112","1971","20150522",".001",".789","787.8","47.96",".03792","","",".44",".15",".15","12.2","","","-48","","","A.S.T.M. D-86","357.1","62"
"100053108117W600","9021","5000","A","26395","00","16O162969A","MET","","3080.3","2043.8","20161120",".001",".788","787.5","48.03",".03549","","",".47",".14",".19","12.1","","Flash Point Closed Cup (Pensky Martens) (ASTM D93) <0 �C","-95","","","A.S.T.M. D-86","357","62"
"100053108117W600","9021","5000","A","26395","00","17OF287166G","MET","","3080.3","2043.8","20171122",".001",".788","787.7","47.99",".03921","","",".42",".14",".13","12.2","","","-27","","","A.S.T.M. D-86","357.1","62"
"100053108117W600","9021","5000","A","26395","00","18OE364548G","OTH","","3112","1971","20150522",".001",".785","784","48.83",".03965","","",".5",".15",".15","12.2","","","-12","","","A.S.T.M. D-86","356.4","62"
"100053108117W600","9021","5000","A","26395","00","18OF414455D","MET","","3080.3","2043.8","20181128",".001",".784","783.6","48.93",".03983","","",".44",".14",".13","12.1","","","-24","","","A.S.T.M. D-86","357.7","62"
"100053108117W600","9021","5000","A","26395","00","19OF513425A","SEP","","3112","1971","20190827",".001",".783","782.5","49.17",".04038","","",".51",".14",".14","12.2","","","-51","","","A.S.T.M. D-86","356.7","62"
"100053108117W600","9021","5000","A","26395","00","21OF736016B","MET","","3112","1971","20210419",".001",".797","796","46.1",".0369","","",".51",".14",".13","12.1","","","-51","","","A.S.T.M. D-86","357","62"
"200C032J094A1300","1260","4100","C","26422","00","20OF674428C","OTH","","2306","1413","20201102",".001",".819","818.6","41.22",".87777","","",".39",".16",".21","11.9","","BS&W performed on oil portion only.","-51","","","A.S.T.M. D-86","357","03"
"200C032J094A1300","1260","4100","C","26422","00","B452393-JX5651","OTH","","2306","1413","20140616",".046",".805","804.2","44.3",".00889","","","0","0","","","","","","","23","","315","03"
"100153008421W602","9022","5000","A","26427","02","12OG571908A","MET","","2900.5","1700","20120120",".084",".808","807.4","43.6",".00068","","",".32",".16",".17","12.1","","","-36","","","ASTM D86","356.7","00"
"100042708016W600","9021","5000","A","26439","00","10OG460308A","OTH","","3311.5","2161.5","20101129",".01",".736","735.3","60.77",".00003","","",".84",".12",".02","11.9","","","-51","","","ASTM D86","285.7","00"
"200C051K094B1600","9022","5000","A","26444","00","52136-2010-6786","MET","","3530.5","2096","20101126","0","","722.1","64.4",".00066","","","","","","","","","-60","","","","","00"
"200D041J094A1300","1260","4100","C","26458","00","20OF675270B","OTH","","2480","1457","20201106",".001",".806","805.3","44.06",".80746","","",".41",".18",".15","11.9","","BS&W performed on oil portion only.","-27","","","A.S.T.M. D-86","356.9","03"
"202D042J094A1300","1260","4100","C","26461","00","20OF670183C","SEP","","2084","1469","20201104",".001",".809","808.4","43.39",".78117","","",".41",".18",".15","11.9","","","-18","","","A.S.T.M. D-86","357.4","03"
"200B031F094G0100","9022","5000","A","26543","00","52136-2011-6001","MET","","2000","1862","20101222","0","","732.6","61.6","","","","","","","","","","-57","","","","","00"
"200B031F094G0100","0800","4800","","26543","00","52136-2011-9065","MET","","1717","1704","20110322","0","","723.3","64.1",".00311","","","","","","","","","-60","","","","","00"
"200C025C094A1300","9022","5000","A","26624","00","1398565","PT","","3691","1913","20101223","",".791","790.3","47.5",".0022","","379",".41",".18",".15","","","","","","","ASTM D86 (Modified)","","64"
"100020708523W600","9022","5000","A","26669","00","11OG475337A","PT","","1874","1833","20110226",".004",".801","800.4","45.13",".0003","","",".35",".18",".17","","","","-39","","","ASTM D86","356.9","00"
"100020708523W600","9022","5000","A","26669","00","11OG475337B","PT","","1874","1833","20110227","0",".8","799.6","45.31",".0002","","",".41",".15",".18","12.3","","","-42","","","ASTM D86","356.9","00"
"100110508218W600","9021","5000","A","26680","00","52134-2011-0586","SEP","","1988","1898","20110218",".001","","800.6","45.2","","","","","","","","","","-27","","","","","00"
"200B076I094A1300","9022","5000","A","26953","00","18F400948","SEP","","2600","1750","20181008",".001",".748","747","57.77",".56507","","",".63",".11",".09","12.2","","","-36","","","A.S.T.M. D-86","356.6","00"
"200B076I094A1300","9022","5000","A","26953","00","20OF642594F","MET","","2600","1750","20200815",".001",".74","739","59.82",".51877","","",".89",".09","0","12","","","-51","","","A.S.T.M. D-86","352.6","00"
"200B076I094A1300","9022","5000","A","26953","00","21OF811531K","MET","","2600","1750","20211002",".001",".722","721.5","64.46",".54372","","",".9",".05",".04","12","","","-36","","","A.S.T.M. D-86","298.2","00"
"100040908422W600","9022","5000","A","26965","00","52134-2012-4073","OTH","","1962","1653","20121009","0","","792","47.1","","-24","","","","","","","","","","22","ENG","","64"
"100080908017W600","9021","5000","A","26980","00","13OF753968C","SEP","","4703.6","2280","20130902","0",".736","735.8","60.63",".00013","","",".71",".16",".11","12.1","","","-51","","","ASTM D86","356.6","00"
"100080908017W600","9021","5000","A","26980","00","13OF773856B","MET","","4703.6","2280","20131023","0",".746","745.4","58.17",".00015","","",".72",".16",".05","11.9","","","-51","","","ASTM D86","357.2","00"
"100080908017W600","9021","5000","A","26980","00","13OF774477A","MET","","4703.6","2280","20131024","0",".74","738.9","59.84",".00033","","",".72",".15",".1","12.1","","","-51","","","ASTM D86","353.3","00"
"100080908017W600","9021","5000","A","26980","00","13OF775367B","MET","","4703.6","2280","20131025","0",".742","741.7","59.12",".00007","","",".73",".15",".1","12.2","","","-51","","","ASTM D86","354.7","00"
"100080908017W600","9021","5000","A","26980","00","13OF775529B","MET","","4703.6","2280","20131026","0",".739","738.2","60.03",".00007","","",".73",".14",".11","12.2","","","-51","","","ASTM D86","352.7","00"
"100080908017W600","9021","5000","A","26980","00","13OF775615B","SEP","","4703.6","2280","20131027","0",".741","740.2","59.51",".00008","","",".73",".16",".09","12.2","","","-51","","","ASTM D86","354.6","00"
"100080908017W600","9021","5000","A","26980","00","13OF775837B","MET","","4703.6","2280","20131028","0",".741","740.1","59.52",".00001","","",".74",".14",".1","12.1","","","-51","","","ASTM D86","352","00"
"100080908017W600","9021","5000","A","26980","00","13OF776479B","MET","","4703.6","2280","20131029",".001",".742","741.2","59.23",".00027","","",".75",".15",".08","12.1","","","-51","","","ASTM D86","351.2","00"
"100080908017W600","9021","5000","A","26980","00","13OF776795B","MET","","4703.6","2280","20131030","0",".739","738.3","59.98",".00023","","",".76",".16",".07","12.2","","","-51","","","ASTM D86","321.2","00"
"100080908017W600","9021","5000","A","26980","00","13OF777582B","MET","","4703.6","2280","20131031","0",".74","739.7","59.63",".00022","","",".76",".15",".07","12.1","","","-51","","","ASTM D86","342.3","00"
"100080908017W600","9021","5000","A","26980","00","13OF778023B","MET","","4703.6","2280","20131101","0",".739","738.7","59.88",".00026","","",".76",".16",".06","12.2","","","-51","","","ASTM D86","328.3","00"
"100080908017W600","9021","5000","A","26980","00","13OF778517B","MET","","4703.6","2280","20131102",".001",".723","729.2","62.37",".00025","","",".78",".13",".07","12.1","","","-51","","","ASTM D86","337.7","00"
"100080908017W600","9021","5000","A","26980","00","13OF786990B","MET","","4703.6","2280","20131125","0",".738","737.5","60.2",".00006","","",".72",".14",".08","12.2","","","-51","","","ASTM D86","336.3","00"
"100080908017W600","9021","5000","A","26980","00","13OF791830B","SEP","","4703.6","2280","20131208","0",".736","735.8","60.55",".00007","","",".78",".14",".06","12.1","","","-51","","","ASTM D86","316","00"
"100162607917W600","9021","5000","A","26981","00","13OF753442B","SEP","","4982.5","2269","20130830","0",".741","739.9","59.57",".00011","","",".8",".13",".05","12.1","","","-51","","","ASTM D86","291.8","00"
"100162607917W600","9021","5000","A","26981","00","13OF772251D","MET","","4982.5","2269","20131018","0",".741","740.4","59.45",".00008","","",".83",".11",".04","12.1","","","-51","","","ASTM D86","292.3","00"
"100051008017W600","9021","5000","A","26982","00","13OF753968D","SEP","","4752","2219","20130902","0",".748","747.3","57.68",".00031","","",".7",".18",".1","12","","","-51","","","ASTM D86","337.1","00"
"100051008017W600","9021","5000","A","26982","00","14F860425","OTH","","4752","2219","20140707",".001",".743","742.7","58.85",".00006","","",".72",".16",".1","12.2","","","-51","","","A.S.T.M. D-86","341.7","00"
"100131408222W600","6100","6200","A","27030","00","17OF185231B","MET","","2039.5","1964","20141223",".001",".74","739.4","59.71",".02153","","",".87",".11","0","12.1","","BS&W performed on oil portion only","-78","","","A.S.T.M. D-86","256.9","00"
"102142408723W603","9022","5000","A","27127","03","9418-52136-17-3","OTH","","4367","1918","20171116","","","784.2","","","","","0","0","0","","","Sample Point did not match the import UWI (02/14-24-087-23W6/02)","-27","","","","","00"
"200D060I094A1300","1260","4100","C","27177","00","20OF680113A","SEP","","2320","1434","20201103",".001",".819","818.8","41.17",".8238","","",".36",".17",".24","11.9","","BS&W performed on oil portion only.","-24","","","A.S.T.M. D-86","357.4","03"
"200D060I094A1300","1260","4100","C","27177","00","B448153-JU9369","WHD","","2320","1434","20140605","0",".833","832.2","38.37",".00823","","","0","0","","","","","","","23","","0","03"
"200D060I094A1300","1260","4100","C","27177","00","B452393-JX5649","WHD","","2320","1434","20140616","0",".842","841.5","36.49",".01032","","","0","0","","","","","","","23","","0","03"
"200D060I094A1300","1260","4100","C","27177","00","B568470-MW0502","WHD","","2320","1434","20150807","0",".828","827.5","39.35",".00859","","","0","0","","","","","","","23","","317","03"
"200D060I094A1300","1260","4100","C","27177","00","B660929-PC2383","WHD","","2320","1434","20160721",".038",".806","805.7","43.97",".00874","","","0","0","","","","","","","23","","0","03"
"100080607714W600","9021","5000","A","27180","00","14F916554","SEP","","6001.8","2609","20141114",".001",".755","754.5","55.87",".0012","","",".89",".09","0","11.9","","","-51","","","A.S.T.M. D-86","246.1","00"
"100122507917W600","9021","5000","A","27187","00","13OF730726B","SEP","","5048.5","2346","20130627","0",".716","715.7","66.02","","","",".84",".14","","12","","","-51","","","","271.4","00"
"202D031J094A1300","1260","4100","C","27190","00","20OF673301A","SEP","","2389","1447","20201103",".001",".815","814.7","42.04",".85809","","",".37",".17",".23","12","","BS&W performed on oil portion only.","-15","","","A.S.T.M. D-86","357.5","03"
"100151307715W600","9021","5000","A","27220","00","14F850533","OTH","","5015","2595.5","20140611",".001",".719","718.6","65.23",".00018","","",".9",".08","0","12.3","","The Distillation temperatures have been corrected to 101.3 kPa (Abs)","-51","","","A.S.T.M. D-86","287.4","00"
"102151307715W600","9021","5000","A","27221","00","14F846157","MET","","5143","2475","20140601",".001",".726","725.4","63.38",".00021","","",".8",".11",".07","12.2","","The Distillation temperatures have been corrected to 101.3 kPa (Abs)","-51","","","A.S.T.M. D-86","306.5","00"
"200D051J094A1300","1260","4100","C","27262","00","20OF671561A","SEP","","2520","1417","20201029",".001",".809","808.1","43.44",".79487","","",".38",".17",".21","11.9","","BS&W performed on oil portion only.","-27","","","A.S.T.M. D-86","357","03"
"200D051J094A1300","1260","4100","C","27262","00","20OF674428A","OTH","","2520","1417","20201102",".001",".81","808.9","43.27",".75564","","",".44",".18",".19","12","","BS&W performed on oil portion only.","-27","","","A.S.T.M. D-86","357.4","03"
"200D051J094A1300","1260","4100","C","27262","00","B451220-JW7352","OTH","","2520","1417","20140612","0",".819","818.3","41.27",".00844","","","0","0","","","","","","","23","","0","03"
"200D051J094A1300","1260","4100","C","27262","00","B568470-MW0503","WHD","","2520","1417","20150807","0",".826","824.9","39.89",".00897","","","0","0","","","","","","","23","","0","03"
"200D051J094A1300","1260","4100","C","27262","00","B660929-PC2384","WHD","","2520","1417","20160721","0",".826","824.8","39.91",".00851","","","0","0","","","","","","","23","","0","03"
"200A016I094A1300","1260","4100","C","27363","00","B448153-JU9370","WHD","","2412","1450","20140611","0",".826","825.5","39.77",".0092","","","0","0","","","","","","","23","","0","03"
"200A016I094A1300","1260","4100","C","27363","00","B694367-PV8844","WHD","","2412","1450","20161021",".551",".835","833.9","38",".958","","","","","","","","","-33","","23","","","03"
"200D006I094A1302","1260","4100","C","27363","02","B568668-MW1465","WHD","","2412","1450","20150806",".281",".831","830.2","38.8",".00942","","","0","0","","","","","","","23","","317.6","03"
"100093408017W600","9021","5000","A","27392","00","13O713557A","SEP","","5060","2080","20130321","",".764","763.2","53.75","","","","","","","","","","","","","","","00"
"100013208423W602","9022","5000","A","27433","02","52136-2011-6723","OTH","","3891","1885","20111126",".008","","805.6","44.1","","","","","","","","","","-15","","","","","64"
"200A031J094A1300","1260","4100","C","27444","00","20OF674429B","OTH","","2391","1428","20201104",".001",".821","820.2","40.86",".92687","","",".34",".15",".19","12","","BS&W performed on oil portion only.","-15","","","A.S.T.M. D-86","357.4","03"
"200D043J094A1300","1260","4100","C","27450","00","20OF670183A","SEP","","2525","1517","20201104",".001",".809","808","43.47",".81139","","",".35",".18",".2","11.9","","","-51","","","A.S.T.M. D-86","357.4","03"
"200D043J094A1300","1260","4100","C","27450","00","B448153-JU9367","OTH","","2525","1517","20140605","0",".829","828.7","39.11",".00943","","","0","0","","","","","","","23","","0","03"
"200D043J094A1300","1260","4100","C","27450","00","B610768-OC6537","OTH","","2525","1517","20160210","0",".821","820.3","40.85",".00861","","","0","0","","","","","","","23","","0","03"
"102030907917W600","9021","5000","A","27488","00","15OF018786B","SEP","","4432","2609","20150914",".001",".736","735","60.85",".00224","","",".88",".1","0","12.1","","BS&W performed on oil portion only","-69","","","A.S.T.M. D-86","248.3","00"
"100140407917W600","9021","5000","A","27489","00","15OF026351B","SEP","","4302","2535","20151002",".001",".745","744.5","58.4",".0071","","",".84",".14","0","12.1","","","-75","","","A.S.T.M. D-86","356.9","00"
"100111807917W600","9021","5000","A","27490","00","15OF027087B","SEP","","4578.23","2567","20151005",".001",".743","742.8","58.83",".00826","","",".84",".14","0","12.1","","","-95","","","A.S.T.M. D-86","268","00"
"100111807917W600","9021","5000","A","27490","00","15OF031008B","SEP","","4578.23","2567","20151015",".001",".745","744.3","58.45",".00589","","",".84",".14","0","12.1","","","-72","","","A.S.T.M. D-86","269.9","00"
"102111807917W600","9021","5000","A","27491","00","15OF020869B","SEP","","4459","2466","20150918",".001",".765","764.4","53.46",".00777","","",".71",".27","0","12.1","","","-63","","","A.S.T.M. D-86","284.4","00"
"200C083F094B1600","9022","5000","A","27505","00","2334099","SEP","","3875","2202.9","20181014","",".723","722.2","64.4","0","","",".89","","","","","","","","","D86-Modified","238","00"
"200D053B094G0100","9022","5000","A","27543","00","52136-2012-6554","PT","","1950","1791.5","20120904","0","","706.6","68.7","","","","","","","","","","-60","","","","","00"
"202D001K094B1602","9022","5000","A","27586","02","2334090","SEP","","3444","2303.4","20181014","",".727","726.2","63.3",".0002","","",".93","","","","","","","","","D86-Modified","237","00"
"200A080I094A1300","1260","4100","C","27623","00","20OF675827A","OTH","","3000","1434","20201109",".001",".808","806.9","43.71",".77045","","",".39",".2",".16","11.9","","BS&W performed on oil portion only.","-30","","","A.S.T.M. D-86","356.9","03"
"200A080I094A1300","1260","4100","C","27623","00","B546710-MJ5631","WHD","","3000","1434","20150602",".24",".819","818.1","41.3",".00897","","","0","0","","","","","","","23","","315","03"
"200A080I094A1300","1260","4100","C","27623","00","B6A9068-QE9344","WHD","","3000","1434","20161202","0",".822","821.4","40.6",".874","","","","","","","","","","","23","","","03"
"200A100H094B0900","9022","5000","A","27776","00","2330686","SEP","","3671.5","1921","20181005","",".69","689.4","73.7","0","","","","","","","","","","","","D86-Modified","202","00"
"203D023K094P0202","4700","8125","D","27829","02","12OG676573A","SEP","","2597","1581","20121222",".001",".821","820.2","40.87",".162","","","0","0","0","11.9","","BS&W performed on oil portion only.   D-86 Distillation not performed due to excessive foaming of the sample.","-51","","","A.S.T.M. D-86","0","00"
"203D023K094P0202","4700","8125","D","27829","02","13OG679225A","SEP","","2597","1581","20130110",".001",".832","831.7","38.49",".153","","","0","0","0","11.9","","BS&W performed on oil portion only.   D-86 Distillation not performed due to excessive foaming of the sample.","-51","","","A.S.T.M. D-86","0","00"
"203D023K094P0202","4700","8125","D","27829","02","13OG681872A","WHD","","2597","1581","20130114",".001",".838","836.9","37.44",".159","","",".29",".2",".17","11.9","","The distillation temperatures have been corrected to 101.3 kPa (abs).","-18","","","A.S.T.M. D-86","357.5","00"
"100021708118W600","9021","5000","A","27886","00","B474285-KL1084","OTH","","3958.9","2302.3","20140822","0",".729","728.6","62.5","0","","","0","0","","","","","","","23","","259.7","00"
"200A072I094A1300","9022","5000","A","27891","00","20OF667300A","MET","","3240","1620","20201021",".001",".764","763.7","53.61",".55258","","",".57",".13",".14","12.1","","BS&W performed on oil portion only.","-51","","","A.S.T.M. D-86","356.8","00"
"200A072I094A1300","9022","5000","A","27891","00","21OF811531A","MET","","3240","1620","20210930",".001",".747","745.9","58.04",".60538","","",".73",".11",".14","12","","","-36","","","A.S.T.M. D-86","343.6","00"
"200B078I094B0802","9022","5000","A","27892","02","B466702-KG4581","OTH","","3768.8","2182","20140730","0",".715","714.5","66.4",".00009","","","0","0","","","","","","","23","","254.6","00"
"200C085I094A1300","9022","5000","A","27893","00","20OF667300C","MET","","2640","1760","20201021",".001",".766","765.6","53.17",".52446","","",".54",".14",".14","12.1","","","-24","","","A.S.T.M. D-86","356.8","00"
